2026-06-12 10:05:13,Login Page,Login User- Action Log Error,"Post ""http://auth_service-backend:8001/api/auth/insert-actionlog"": dial tcp: lookup auth_service-backend: no such host"
2026-06-12 12:20:04,Office Page,SaveUpdateOffice Action Log Error,"Post ""http://auth_service-backend:8001/api/auth/insert-actionlog"": dial tcp: lookup auth_service-backend: no such host"
2026-06-12 12:20:04,Office Page,SaveUpdateOffice,"pq: function public.f_insertupdate_officedetail(unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown) does not exist at column 8 (42883)"
2026-06-12 12:21:58,Office Page,SaveUpdateOffice Action Log Error,"Post ""http://auth_service-backend:8001/api/auth/insert-actionlog"": dial tcp: lookup auth_service-backend: no such host"
2026-06-12 12:21:58,Office Page,SaveUpdateOffice,"pq: function public.f_insertupdate_officedetail(unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown) does not exist at column 8 (42883)"
2026-06-12 12:38:22,Office Page,GetOfficeList,pq: function public.f_get_office(unknown) does not exist at column 16 (42883)
2026-06-12 12:38:22,Office Page,GetOfficeList,pq: function public.f_get_office(unknown) does not exist at column 16 (42883)
2026-06-12 12:52:29,Office Page,GetOfficeList,"pq: invalid input syntax for type integer: """" (22P02)"
2026-06-12 12:52:29,Office Page,GetOfficeList,"pq: invalid input syntax for type integer: """" (22P02)"
2026-06-12 12:56:01,Office Page,GetOfficeList,"pq: invalid input syntax for type integer: """" (22P02)"
2026-06-12 12:56:01,Office Page,GetOfficeList,"pq: invalid input syntax for type integer: """" (22P02)"
2026-06-12 13:00:55,Office Page,GetOfficeList,EOF
2026-06-12 13:00:55,Office Page,GetOfficeList,EOF
2026-06-12 13:02:01,Office Page,GetOfficeList,EOF
2026-06-12 13:02:01,Office Page,GetOfficeList,EOF
2026-06-12 13:02:04,Office Page,GetOfficeList,EOF
2026-06-12 13:02:04,Office Page,GetOfficeList,EOF
2026-06-12 13:02:23,Office Page,GetOfficeList,EOF
